"CLDR Short Name";"Code";"Browser"
"grinning face";"U+1F600";"😀"
"beaming face with smiling eyes";"U+1F601";"😁"
"face with tears of joy";"U+1F602";"😂"
"rolling on the floor laughing";"U+1F923";"🤣"
"grinning face with big eyes";"U+1F603";"😃"
"grinning face with smiling eyes";"U+1F604";"😄"
"grinning face with sweat";"U+1F605";"😅"
"grinning squinting face";"U+1F606";"😆"
"winking face";"U+1F609";"😉"
"smiling face with smiling eyes";"U+1F60A";"😊"
"face savoring food";"U+1F60B";"😋"
"smiling face with sunglasses";"U+1F60E";"😎"
"smiling face with heart-eyes";"U+1F60D";"😍"
"face blowing a kiss";"U+1F618";"😘"
"kissing face";"U+1F617";"😗"
"kissing face with smiling eyes";"U+1F619";"😙"
"kissing face with closed eyes";"U+1F61A";"😚"
"smiling face";"U+263A";"☺"
"slightly smiling face";"U+1F642";"🙂"
"hugging face";"U+1F917";"🤗"
"⊛ star-struck";"U+1F929";"🤩"
"thinking face";"U+1F914";"🤔"
"⊛ face with raised eyebrow";"U+1F928";"🤨"
"neutral face";"U+1F610";"😐"
"expressionless face";"U+1F611";"😑"
"face without mouth";"U+1F636";"😶"
"face with rolling eyes";"U+1F644";"🙄"
"smirking face";"U+1F60F";"😏"
"persevering face";"U+1F623";"😣"
"sad but relieved face";"U+1F625";"😥"
"face with open mouth";"U+1F62E";"😮"
"zipper-mouth face";"U+1F910";"🤐"
"hushed face";"U+1F62F";"😯"
"sleepy face";"U+1F62A";"😪"
"tired face";"U+1F62B";"😫"
"sleeping face";"U+1F634";"😴"
"relieved face";"U+1F60C";"😌"
"face with tongue";"U+1F61B";"😛"
"winking face with tongue";"U+1F61C";"😜"
"squinting face with tongue";"U+1F61D";"😝"
"drooling face";"U+1F924";"🤤"
"unamused face";"U+1F612";"😒"
"downcast face with sweat";"U+1F613";"😓"
"pensive face";"U+1F614";"😔"
"confused face";"U+1F615";"😕"
"upside-down face";"U+1F643";"🙃"
"money-mouth face";"U+1F911";"🤑"
"astonished face";"U+1F632";"😲"
"frowning face";"U+2639";"☹"
"slightly frowning face";"U+1F641";"🙁"
"confounded face";"U+1F616";"😖"
"disappointed face";"U+1F61E";"😞"
"worried face";"U+1F61F";"😟"
"face with steam from nose";"U+1F624";"😤"
"crying face";"U+1F622";"😢"
"loudly crying face";"U+1F62D";"😭"
"frowning face with open mouth";"U+1F626";"😦"
"anguished face";"U+1F627";"😧"
"fearful face";"U+1F628";"😨"
"weary face";"U+1F629";"😩"
"⊛ exploding head";"U+1F92F";"🤯"
"grimacing face";"U+1F62C";"😬"
"anxious face with sweat";"U+1F630";"😰"
"face screaming in fear";"U+1F631";"😱"
"flushed face";"U+1F633";"😳"
"⊛ crazy face";"U+1F92A";"🤪"
"dizzy face";"U+1F635";"😵"
"pouting face";"U+1F621";"😡"
"angry face";"U+1F620";"😠"
"⊛ face with symbols on mouth";"U+1F92C";"🤬"
"face with medical mask";"U+1F637";"😷"
"face with thermometer";"U+1F912";"🤒"
"face with head-bandage";"U+1F915";"🤕"
"nauseated face";"U+1F922";"🤢"
"⊛ face vomiting";"U+1F92E";"🤮"
"sneezing face";"U+1F927";"🤧"
"smiling face with halo";"U+1F607";"😇"
"cowboy hat face";"U+1F920";"🤠"
"clown face";"U+1F921";"🤡"
"lying face";"U+1F925";"🤥"
"⊛ shushing face";"U+1F92B";"🤫"
"⊛ face with hand over mouth";"U+1F92D";"🤭"
"⊛ face with monocle";"U+1F9D0";"🧐"
"nerd face";"U+1F913";"🤓"
"smiling face with horns";"U+1F608";"😈"
"angry face with horns";"U+1F47F";"👿"
"ogre";"U+1F479";"👹"
"goblin";"U+1F47A";"👺"
"skull";"U+1F480";"💀"
"skull and crossbones";"U+2620";"☠"
"ghost";"U+1F47B";"👻"
"alien";"U+1F47D";"👽"
"alien monster";"U+1F47E";"👾"
"robot face";"U+1F916";"🤖"
"pile of poo";"U+1F4A9";"💩"
"grinning cat face";"U+1F63A";"😺"
"grinning cat face with smiling eyes";"U+1F638";"😸"
"cat face with tears of joy";"U+1F639";"😹"
"smiling cat face with heart-eyes";"U+1F63B";"😻"
"cat face with wry smile";"U+1F63C";"😼"
"kissing cat face";"U+1F63D";"😽"
"weary cat face";"U+1F640";"🙀"
"crying cat face";"U+1F63F";"😿"
"pouting cat face";"U+1F63E";"😾"
"see-no-evil monkey";"U+1F648";"🙈"
